ID,TIME,lng_h,lat_h,lng_w,lat_w
FL7LRL,2024-01-05T16:31:58+0000,11.6609349,48.09881828,11.58325786,48.27742784
YJURU7,2023-12-30T10:18:26+0000,11.55571173,48.13741621,11.58325786,48.27742784
FL7LRL,2024-01-05T18:11:56+0000,11.58325786,48.27742784,11.58325786,48.27742784
YJURU7,2024-01-05T16:32:06+0000,11.66075971,48.09868982,11.58326453,48.27741385
FL7LRL,2023-12-29T11:38:27+0000,11.42637807,48.14286024,11.58326453,48.27741385
YJURU7,2024-01-03T17:32:10+0000,11.57635,48.1340868,11.58343878,48.27738179
FL7LRL,2024-01-03T17:32:39+0000,11.57635,48.1340868,11.58344546,48.2773678
YJURU7,2023-12-29T16:35:53+0000,11.55762204,48.25957974,11.58349139,48.27733492
YJURU7,2023-12-28T19:38:24+0000,11.5831236,48.27733206,11.58358258,48.27740416
FL7LRL,2023-12-25T10:58:41+0000,11.7918783,48.35165751,11.5836389,48.27737403
YJURU7,2023-12-28T14:46:42+0000,12.36492515,47.86033893,11.58401806,48.27765177
RTTXRK,2023-12-27T12:24:32+0000,9.17821975,48.77298062,11.58563217,48.20154556
RTTXRK,2023-12-31T14:43:49+0000,11.56904883,48.18685497,11.58569478,48.20192691
LGXH6H,2023-12-27T12:23:26+0000,9.1782202,48.77298145,11.58579854,48.20194594
LGXH6H,2023-12-31T14:47:01+0000,11.56913063,48.18685604,11.5858565,48.2017265
RTTXRK,2023-12-30T10:56:41+0000,12.36453041,47.85943779,11.58799106,48.13521233
LGXH6H,2023-12-28T18:10:41+0000,11.56796243,48.18792326,11.59443859,48.19333525
RTTXRK,2023-12-28T18:10:41+0000,11.56786254,48.18769712,11.59455854,48.1931354
LGXH6H,2023-12-27T19:45:20+0000,11.56904883,48.18685497,11.59609972,48.1940532
RTTXRK,2023-12-27T19:45:31+0000,11.56904883,48.18685497,11.59720947,48.19404461
FL7LRL,2024-01-05T09:44:09+0000,11.56150596,48.28589441,11.60173509,48.14037179
YJURU7,2024-01-04T20:22:41+0000,11.58315983,48.27738894,11.60180593,48.14039079
YJURU7,2023-12-29T07:40:00+0000,11.58325786,48.27742784,11.60492361,48.19869331
FL7LRL,2023-12-29T18:02:45+0000,11.58331098,48.27731852,11.60493853,48.19870537
A9ARFG,2023-12-30T11:08:53+0000,11.63299901,48.17948999,11.60664509,48.19753629
KYV43U,2024-01-02T13:58:23+0000,11.66371085,48.04072406,11.62667671,48.09970298
CAFMTC,2024-01-07T08:15:00+0000,11.56921337,48.28708691,11.63016473,48.16483399
A9ARFG,2023-12-29T08:01:58+0000,11.63016473,48.16483399,11.63020286,48.16466007
A9ARFG,2023-12-30T08:06:44+0000,11.63020286,48.16466007,11.63299901,48.17948999
FL7LRL,2024-01-02T15:20:15+0000,11.56122973,48.28554847,11.63418821,48.30351669
YJURU7,2024-01-02T15:21:02+0000,11.5612235,48.2855705,11.63422381,48.30354479
YJURU7,2024-01-05T15:38:13+0000,11.56326979,48.20821621,11.66075971,48.09868982
FL7LRL,2024-01-05T15:38:21+0000,11.56318528,48.20810022,11.6609349,48.09881828
YJURU7,2024-01-06T18:10:27+0000,11.58326453,48.27741385,11.6612873,48.0987857
FL7LRL,2024-01-06T18:12:03+0000,11.58325786,48.27742784,11.6612873,48.0987857
KYV43U,2024-01-02T12:33:55+0000,11.50449736,48.08769543,11.66371085,48.04072406
YJURU7,2023-12-29T13:02:09+0000,11.58315983,48.27738894,11.66949615,48.32123623
RTTXRK,2023-12-30T20:56:13+0000,11.57495397,48.18896033,11.70634893,48.02086467
LGXH6H,2023-12-30T20:55:43+0000,11.57497146,48.18897178,11.70638659,48.0208413
FL7LRL,2023-12-30T11:17:41+0000,11.60493853,48.19870537,11.75380343,47.70954183
YJURU7,2023-12-30T17:17:36+0000,11.58315983,48.27738894,11.75423572,47.70882907
FL7LRL,2023-12-28T14:46:48+0000,12.36492515,47.86033893,11.78890631,48.14626133
YJURU7,2023-12-27T22:04:55+0000,11.58401806,48.27765177,11.78928114,48.14618253
FL7LRL,2023-12-24T22:28:55+0000,11.58315983,48.27738894,11.7918783,48.35165751
KYV43U,2024-01-02T15:55:07+0000,11.62667671,48.09970298,11.88948427,48.30954983
UUT9T3,2024-01-02T15:54:36+0000,11.62690658,48.09977296,11.88949808,48.30983067
KYV43U,2024-01-04T20:21:02+0000,11.96308955,48.0945348,11.95504098,48.07598564
UUT9T3,2024-01-04T20:21:09+0000,11.96310364,48.09452187,11.95520497,48.0759732
